FIPS5,yr,population
01001,2014,54876
01001,2015,54838
01001,2016,55242
01001,2017,55443
01001,2018,55601
01003,2014,199189
01003,2015,202995
01003,2016,207712
01003,2017,212619
01003,2018,218022
01005,2014,26758
01005,2015,26294
01005,2016,25819
01005,2017,25158
01005,2018,24881
01007,2014,22541
01007,2015,22562
01007,2016,22576
01007,2017,22555
01007,2018,22400
01009,2014,57521
01009,2015,57522
01009,2016,57517
01009,2017,57827
01009,2018,57840
01011,2014,10665
01011,2015,10400
01011,2016,10381
01011,2017,10176
01011,2018,10138
01013,2014,20343
01013,2015,20176
01013,2016,20029
01013,2017,19898
01013,2018,19680
01015,2014,115995
01015,2015,115536
01015,2016,115018
01015,2017,114664
01015,2018,114277
01017,2014,33980
01017,2015,34007
01017,2016,33771
01017,2017,33758
01017,2018,33615
01019,2014,25902
01019,2015,25739
01019,2016,25776
01019,2017,25815
01019,2018,26032
01021,2014,43769
01021,2015,43717
01021,2016,43896
01021,2017,44117
01021,2018,44153
01023,2014,13317
01023,2015,13233
01023,2016,13049
01023,2017,12935
01023,2018,12841
01025,2014,24865
01025,2015,24703
01025,2016,24349
01025,2017,24097
01025,2018,23920
01027,2014,13440
01027,2015,13413
01027,2016,13393
01027,2017,13367
01027,2018,13275
01029,2014,15025
01029,2015,14917
01029,2016,14853
01029,2017,14906
01029,2018,14987
01031,2014,50655
01031,2015,50952
01031,2016,51145
01031,2017,51777
01031,2018,51909
01033,2014,54468
01033,2015,54370
01033,2016,54367
01033,2017,54509
01033,2018,54762
01035,2014,12679
01035,2015,12680
01035,2016,12501
01035,2017,12435
01035,2018,12277
01037,2014,11038
01037,2015,10938
01037,2016,10826
01037,2017,10757
01037,2018,10715
01039,2014,37756
01039,2015,37551
01039,2016,37382
01039,2017,37078
01039,2018,36986
01041,2014,13859
01041,2015,13857
01041,2016,13922
01041,2017,13861
01041,2018,13824
01043,2014,81067
01043,2015,81764
01043,2016,82456
01043,2017,82836
01043,2018,83442
01045,2014,49417
01045,2015,49349
01045,2016,49301
01045,2017,49254
01045,2018,48956
01047,2014,41562
01047,2015,40948
01047,2016,40092
01047,2017,39235
01047,2018,38310
01049,2014,70999
01049,2015,71112
01049,2016,71101
01049,2017,71404
01049,2018,71385
01051,2014,80568
01051,2015,80924
01051,2016,81263
01051,2017,81416
01051,2018,81887
01053,2014,37738
01053,2015,37665
01053,2016,37488
01053,2017,36999
01053,2018,36748
01055,2014,103407
01055,2015,103003
01055,2016,102849
01055,2017,102937
01055,2018,102501
01057,2014,16768
01057,2015,16693
01057,2016,16555
01057,2017,16474
01057,2018,16433
01059,2014,31561
01059,2015,31541
01059,2016,31654
01059,2017,31590
01059,2018,31363
01061,2014,26597
01061,2015,26636
01061,2016,26498
01061,2017,26410
01061,2018,26314
01063,2014,8585
01063,2015,8509
01063,2016,8483
01063,2017,8318
01063,2018,8233
01065,2014,15047
01065,2015,15018
01065,2016,14835
01065,2017,14809
01065,2018,14726
01067,2014,17082
01067,2015,17106
01067,2016,17083
01067,2017,17140
01067,2018,17209
01069,2014,104156
01069,2015,104268
01069,2016,104239
01069,2017,104373
01069,2018,104722
01071,2014,52562
01071,2015,52218
01071,2016,52048
01071,2017,51907
01071,2018,51736
01073,2014,659918
01073,2015,660370
01073,2016,660326
01073,2017,659546
01073,2018,659300
01075,2014,14067
01075,2015,13925
01075,2016,13927
01075,2017,13902
01075,2018,13844
01077,2014,93013
01077,2015,92477
01077,2016,92457
01077,2017,92591
01077,2018,92387
01079,2014,33448
01079,2015,33138
01079,2016,33233
01079,2017,33077
01079,2018,32957
01081,2014,154545
01081,2015,157009
01081,2016,159297
01081,2017,161641
01081,2018,163941
01083,2014,90596
01083,2015,91571
01083,2016,92841
01083,2017,94076
01083,2018,96174
01085,2014,10498
01085,2015,10353
01085,2016,10253
01085,2017,10104
01085,2018,9974
01087,2014,19648
01087,2015,19306
01087,2016,19064
01087,2017,18811
01087,2018,18439
01089,2014,349807
01089,2015,352989
01089,2016,356821
01089,2017,361665
